bug_description , class_name
add a permission to allow site to download multiple file automatically,Backend
api to disallow workspace modification during jdt core operation,Backend
meta add wallpaper to the new tab page,Frontend
editormgmt contributed editor with no icon doesnt show up in file association,Frontend
address bar text selection is cleared after loading youtube page,Frontend
workbenchparts wokbench saveall doe not save non part saveables,Frontend
accessing the reload icon on context menu is harder,Frontend
when downloading more than file at the same time cause the downloads greater than or not to download or be displayed in the download panel,Frontend
cleanup remove code related to whats new panel,Backend
when trying ti access the administrator setting , redmine retunrs a error,Backend
ctrl tab preview doesnt highlight in linux,Frontend
number take precedence over hyphen when displaying folder in project explorer,Frontend
some of the piece of the download start finish animation are misaligned,Frontend
directory view should also have iconic view and have explorer functionality,Backend
search logins in firefox lockwise quickly extends and retracts when the page is refreshed,Frontend
viewer add generic to the jface viewer framework,Frontend
user api filtering by status broke on upgrade from to,Backend
auto expand folder show blank entry,Frontend
minimize , maximize , close button stop working after startup,Frontend
classic theme is black in manjaro xfce,Frontend
texteditor hang,Frontend
specific pdf page take s to render cpu,Frontend
missing space between notification sentence and author name when edit a wiki page,Backend
make redmine email delivery compatible with activejob,Backend
nullpointerexception in referencebinding compare,Backend
the enter keychain password is required twice when importing password from chrome on mac o,Backend
show thumbnail on news,Frontend
missleading error location of java compiler because of comment block,Backend
tps extend test history collision j to also test real world scenario,Backend
add a more elaborate probe for the search suggestion,Frontend
reduce winntfilesystem getbooleanattributes call during classpath resolution,Backend
add close reopen button on admin project page,Backend
null external consider fine grained merging of multiple eea file,Backend
keybindings tvt x tct reading order in key sequence containing neutral char,Frontend
jsr compiler not respecting release,Backend
webconnect data exchange access,Backend
extra space to the right of bookmark toolbar item when moved to custom toolbars,Frontend
quick jump to issue only if searching for issue,Backend
clean up moz any label , div rule in add edit form cs,Frontend
compiler decongest tagbits,Backend
i dont want to be notified of change that i make myself a default for all user,Backend
firefox developer edition about config is unreadable with custom system color,Frontend
jface support setting storing of custom color in colorfieldeditor,Frontend
ctrl doe not react,Backend
when download a file with chinese name , some time will happen error,Frontend
client command that affect engine data may result in no client data if processed when only the client engine is being synced,Backend
allow menu bar item when tab on top,Frontend
when trying ti access the administrator setting , redmine retunrs a error,Backend
firefox freeze while window is downloading a big file selected using file input,Backend
viewmgmt rcp support for passing input data to view,Frontend
call toolbariconcolor inferfromtext when switching o theme,Frontend
find action show chevron menu icon and not the new kebab icon,Frontend
indicate to the user when their selected shipping option is no longer available,Frontend
send reminder not working in redmine,Backend
show due in x day in email notification,Backend
internal error while creating user with api by json request,Backend
add option to decide default value for i dont want to be notified of change that i make myself,Backend
enumeration sorting doe not work,Backend
mac command doe not cancel dialog,Frontend
use cpow detection to take gettabforbrowser shortcut in gettabforcontentwindow,Frontend
not display all toolbars when force quit,Frontend
view have no close button in workspace created with eclipse older m,Frontend
commonnavigator need public others working set for use in common navigator instance,Frontend
progress show actual progress in view icon,Frontend
quick fix add missing method on instance method reference add to wrong class,Backend
attached file not displayed after save,Frontend
prevent search tip from showing while urlbar is focused,Frontend
no share button in asrouter devtools for feature callouts,Backend
get also label for key value custom field by api,Backend
classic button for bookmark toolbar,Frontend
viewmgmt intro multiple tab displayed when intro is maximized,Frontend
new email notification option for any event on my bookmarked project,Backend
meta improve webextension based search engine handling,Backend
make alt d and ctrk l switch back from search address bar to content area,Frontend
iframe right click menu appears in wrong location after dragging tab to different window,Frontend
compiler need warning if autounboxing yield ambiguous method dispatch,Backend
redmine wont send email in latest version,Backend
test mysql error deadlock found when trying to get lock,Backend
add news button in cross project news tab,Frontend
add user status to user list api,Backend
bookmark toolbar right click remove shortcut not working,Frontend
tablet a ide keyboard mouse entry device,Frontend
empty password should say enter password also,Backend
resetting an italic font set if tree and table font for view doesnt work,Frontend
thumbnail macro cause attachment file not found and broken filename and link,Frontend
error reported on code editor when the module dependency is added a an internal jar file,Backend
creating mutliple attachment at the same time result in s,Backend
conflicting handler for same handler reported,Frontend
url in outgoing email get mutilated,Backend
pre tag get html encoded in the description,Frontend
there is no success message shown if the user set up nightly a their default browser via the onboarding tour,Frontend
recomended section is not refreshed after delete from history,Frontend
browser sessionstore max resumed crash allows more crash than given until the next crash restart is showing about sessionrestore,Backend
long pause after hitting ctrl shift t before the dialog is usable,Backend
contribution found npe in log,Frontend
clicking the right tab stepper if disabled cause the tab to flicker,Frontend
thumbnail lifecycle reuse thumb from identical file , delete thumb when diskfile is deleted,Frontend
pop up blocker info show http doe not remove pop up from the list,Frontend
remove async smtp and async sendmail delivery method,Backend
the pocket sponsored tile is briefly displayed while disabling the sponsored shortcut,Frontend
sync may resurrect old deleted item,Backend
editormgmt copying a resource with open editor should open copied resource,Frontend
missing index on table custom value,Backend
unable to delete version,Backend
editormgmt allow drag and drop of file tab to external editor,Frontend
favicon display error when attempting to use internal file for image,Frontend
add automated test for activity stream private window,Frontend
editormgmt open with for external file,Frontend
enhancement to field member pre suffix,Backend
custom field available over the api,Backend
user to group mapping exists after deleting given user,Backend
internal error after login,Backend
treat minimized window like unloaded tab,Backend
editormgmt multieditor and multieditorinput need more doc example,Frontend
add enabled core field to tracker api response,Backend
very large production log file,Backend
metadata com ibm icu plug in wont ever get versioned,Frontend
multiple file for issue custom filed,Frontend
better mean to pull issue relation on rest api,Backend
allowed filename extension of attachment can be circumvented,Frontend
triple backtick doe not work properly,Frontend
potgresql required version for redmine x x,Backend
search count isnt incremented for keyword search in the urlbar when the result list is closed,Frontend
get project list with rest api xml call,Backend
create issue doe not allow for category id,Backend
migrate browser urlbar maxhistoricalsearchsuggestions to browser urlbar suggest searchhistory,Frontend
email notification error,Backend
model add iannotation getkey,Backend
email notification involved in clarification,Backend
persistent red rectangle on hamburger menu after dismissing a doorhanger that appeared while another doorhanger wa being shown,Frontend
rfe specify converter filter instead of stand alone app for mime type or protocol,Backend
content area doe not get focus after drag drop a html file to about newtab page from explorer,Frontend
sort order icon is missing in user index,Backend
notification mail on issue creation by email,Backend
problem with clean up migration to,Backend
ruby script about e production always used redmine development database,Backend
db migration issue from to redmine,Backend
viewer deferredcontentprovider should use a stable sort algorithm,Frontend
support custom field when exporting user to csv,Backend
inconsitent generic infererence between the eclipse compiler and the jdk compiler,Backend
run configuration with dynamic folder or wildcard classpath,Backend
mysql server error when submitting byte utf to be saved in the note field,Backend
index reference in workspace is obviously incorrect,Backend
org eclipse ui command schema doc is incorrect,Frontend
editormgmt editor history is not kept correctly,Frontend
viewer abstracttableviewer remove object element doc,Frontend
introduce the request store gem to hold user current and prevent data leakage in error message,Backend
administration group user lag with many project,Backend
wiki notation attachment file name can not make a link to a file attached to other journal,Frontend
activity stream initialization cause jank after receiving the sessionstore window restored notification,Frontend
performance parallel index creation,Backend
redirect to back url or referer when clicking sign in while already logged in,Backend
jface double click selection only work when cancel button is added,Frontend
org eclipse ui test decorator decoratoradaptabletests testcontributorresourceadapter fails on window intermittently,Frontend
plugin installer on the administration page,Backend
delete attachment over rest api,Backend
macos firefox doe not unfocus address bar when pressing esc key,Frontend
filtering issue by multiple project in rest api return a,Backend
if topsite screenshotting fails once for a url , that url will never get a screenshot until the profile is cleared,Frontend
menumanagerrenderer should recursively clean menu,Frontend
auto complete issue id in search form,Frontend
calculator divide by zero,Frontend
decorator check needed for resouce being decorated exists before passing to decorator,Frontend
closed window in history panel dont show the number of tab unless hovered,Frontend
preference rcp need a general strategy for migration of preference to api,Frontend
project copy failed to copy issue if category is set to required project copy issue issue xxx could not be copied category can not be blank,Backend
user without two factor authentication enabled can not sign out when two factor authentication is required,Backend
databinding titleareadialogsupport should use titleareadialog setdialogcomplete new in,Frontend
the cfr sync logins recommendation is no longer displayed after the tab is moved to new window,Backend
no access to named pipe via javascript chrome extension,Backend
show blank pdf when file is hosted in a directory protected by ntlm,Frontend
ide specify more derived resource for open resource dialog,Frontend
custom style sheet for email notification,Backend
email notification setting,Backend
presentation minimizing a stack cause move to be disabled on active stack,Frontend
have an option to compact expand multiple app tab into one button tab,Frontend
mpe multipageeditoractionbarcontributor setactivepage is called before setactiveeditor,Frontend
byte utf character,Backend
meta fission session store work,Backend
can not filter project by client and project manager a normal user,Backend
preference preference need a way to reset all preference prior to import,Frontend
set create date for issue throw rest api,Backend
in project explorer , link with editor can prang file search,Frontend
add an index into table custom value on value column,Backend
refreshing firefox twice in a row will not delete the old profile and will not restart firefox,Backend
workingsets improve working set selection dialog,Frontend
add option to include enabled issue custom field in project show api response,Backend
the timestamps under saved logins have varying total length on about logins page,Frontend
link to the repository branch,Frontend
offer address and credit card engine sync if firefox sync is enabled when using paymentrequest,Frontend
find ticket assigned to former employee,Backend
restapi doesnt allow anonymous account registration but web interface doe,Backend
i cant drag tab icon to desktop to create a link on desktop,Frontend
after moving tab to new window , ctrl w close all tab in that window,Frontend
pdf viewer fails to render setlinecap moveto closepath stroke,Frontend
email notification case of mime version header,Backend
perspectivebar perspective icon are not deleted when plugin is uninstalled,Frontend
send notification to user selected from costum field user type,Backend
support saving pdf form which contain field with no name,Frontend
closing a tab sometimes close all tab to the right of that tab,Frontend
update regarding redmine installation on window sub uri page,Documentation
application tab should be animated if title change,Frontend
api create issue relation method return not acceptable error,Backend
add auto detect time zone option in my account setting,Backend
how can i changed email template,Backend
jface composite image is black,Frontend
slight shuffling of content a snippet load in d,Frontend
dropdown menu stop working on linux ubuntu when you open a website through the dash,Frontend
user can block his account or assign relief,Backend
mozilla social not autocompleted due to a low frecency score,Frontend
protection panel hero message illustration doesnt match proton icon style,Backend
how to just send notification , but not email,Backend
slow content assist for new lookup,Backend
titleareadialog image doe not scale with font zoom,Frontend
use better color for the search mode indicator in ubuntu high contrast mode,Frontend
show open closed badge in email notification,Backend
type inference problem using diamond operator,Backend
java model exception java model status module info doe not exist,Backend
ctrl is not active in a freshly installed eclipse empty workspace,Frontend
security ui not degraded when mixed content load in window opened page,Security
email notification,Backend
email ha already been taken login ha already been taken,Backend
update babel for activity stream,Frontend
add automated test for highlight context menu dismiss,Frontend
attachment deduplication,Frontend
drop setting blind carbon copy recipient bcc,Backend
extension that override the home and new tab page should be displayed in their respective drop down menu,Frontend
download manager fails to honor always open for file with unrecognized extension , xcto nosniff , and mimetype application octet stream , despite recognizing the file extension a set to always open after downloading it,Backend
search falsy parameter are not respected,Backend
add tax and password support to setting,Backend
issue which are assigned to group are not listed in reminder if user parameter is specified,Backend
perspective the background colour when closing all perspective is hard coded and non standard,Frontend
consider adding new event type that is fired for tab close or browser xul window close,Frontend
mpe editormgmt multipageeditorpart should be supported better by editor manager,Frontend
custom help url with user location,Backend
when i manually restart my browser or computer all my tab go away and i have no option to restore previous tab,Backend
support custom field when exporting user to csv,Backend
compile generic bad method resolution in javadoc when using link tag,Backend
test send mail connection refused connect for localhost port,Backend
support wiki page title attribute in version rest api,Backend
mixed compiler option generate illegalaccesserror in generated switch table for switch enum,Backend
no padding between the import data button and description string on de locale or if the browser width is reduced,Backend
bookmark are drained out of the individual folder structure to the main bookmarkfolder after restoring them from file or backup,Backend
sql server a column ha been specified more than once,Backend
commonnavigator selection and expansion state should be persisted between session,Frontend
meta improve restylesearches,Frontend
slack favicon change if you drag a tab into it own window,Frontend
a a non admin user using api , i want to be able to filter user by their username without getting forbidden exception,Backend
rest api doe not allow unassigning user,Backend
allow redmine to provide reply to email header,Backend
jface no notification mechanism for after a window is open,Frontend
no email notification,Backend
problem with set version in issue via rest api,Backend
delete attachment over rest api,Backend
consider moving quicksuggesttestutils withexperiment to urlbartestutils,Frontend
rcp support for a dedicated periphery area of the window,Frontend
escape key ha different behavior between address bar and search bar,Frontend
compiler optional warning for identity comparison value of uninterned type,Backend
firefox will exit right after the download dialog is shown if the last tab left is for downloading something,Frontend
custom template for email notification,Backend
workbench status bar should be resizable,Frontend
proton zoom control hover active state do not match the hover active state of the other item in the menu,Frontend
ecj ignore processorpath in jvm large than,Backend
screenshot copy not copying preview but actually capture new screenshot,Frontend
menu bar item can not be moved,Frontend
proton small icon with thin line make them hard to read,Frontend
the add ons manager and the downloads view can be opened in several tab,Security
add inherit member to project api response,Backend
add option to include enabled issue custom field in project show api response,Backend
xfa severe alignment issue follow up,Frontend
when a youtube com tab is restored using ctrl shift t video should start were it wa instead of from the beginning,Backend
super slow restore of tab doing update,Backend
up to now , i can not get the allowed file extension when using the rest api,Backend
workbenchparts rcp minimized view should not show toolbar button,Frontend
failed to upgrade to latest redmine version,Backend
filename detect after content disposition decode a utf fail in linux,Backend
astparser not parsing stream operation,Backend
editormgmt tab keyboard shortcut problem when moving from open editor to editor,Frontend
issuescontroller test fail with sqlite database,Backend
ability to set default value for i dont want to be notified of change that i make myself,Backend
firefox prevents deleting a folder if a pdf file ha been opened from it,Backend
adding jfx syntax to the the java ast,Backend
highlighting an address bar url while holding shift should remove the dropdown of suggestion,Frontend
new tab appear in wrong window,Frontend
change the default value for time span format from decimal to minute,Backend
upgrading from to break,Backend
no result in call hierarchy if jre is on smb share,Backend
restoring bookmark while sync is configured will cause bad thing to happen,Backend
compiler null inference unnecessarily instantiates type variable a nonnull string,Backend
wizard minor cant assign mnemonic to new wizard name gfme,Frontend
no email notification,Backend
editormgmt jdt core plugin activated when it should not,Frontend
repeating context menu icon,Frontend
e when the content process crash , back fwd menu is unavailable and the tab crash page itself provides no way to go back either,Frontend
duplicate error in switch expression,Backend
text hover color of the theme dropdown in the customize mode are barely readable in dark mode,Frontend
tooltips should have rounded corner,Frontend
search bar is not visible if added to menu bar,Frontend
tab is auto focused on request for non secure element on http site,Frontend
sync tab sidebar selected device flicker in synctab sidebar,Backend
raise the maximum length of the last name to character,Backend
email are dropped after timeout,Backend
user last connection is not updated correctly,Backend
address bar panel not closed in case of navigation in edit mode,Frontend
webextension context menu item in the sidebar menu look strange,Frontend
db migrate say cant convert fixnum into string,Backend
user last connection is not updated correctly,Backend
android long press context menu please add ability to add remove item , move to from main list dot menu,Frontend
for any event on my bookmarked project option not sending notification for non member bookmarked project,Backend
building jpa project triggered too frequently,Backend
each about logins tab restored from the last session will trigger a master password prompt,Frontend
maven imported project doesnt have the java nature neither classpath,Backend
internal error an error occurred on the page you were trying to access,Backend
firefox can not save , among others , email attachment,Backend
stop skipping urlbar test browser browser urlbar selection j on macos,Frontend
meta make support page on error page available offline,Security
remove fission experiment doorhanger and cfr messaging,Backend
save link a doesnt respect the extension for wsf , asp and lnk file , if there is no server sent mimetype or it doe not match,Frontend
email delivery error mailbox not found or access denied , there is an invalid email address,Backend
changing subject line in email notification when an issue is created or updated,Backend
user self registration allow combination of email validation and manual approval,Backend
add tab to switch between profile and my account page,Backend
new notfication setting value in role setting,Backend
improve returned http status code for request for account show,Backend
searching is not marking the searched term , in some case,Frontend
amazon sponsored shortcut appears again when enabling and disabling the sponsored shortcut option,Frontend
intermittent e browser plaintextlinks j found an unexpected tab at the end of test run data text html charset utf , test for non hyperlinked url selection,Frontend
draw horizontal and space between tab bar and web page,Frontend
input data is lost after session restore,Backend
add api support for enumeration in custom field,Backend
window tab design on light v dark mode,Frontend
contribution adapter element factory registry should be public,Frontend
fix warning due to missing since tag in new apis,Backend
formatter unnecessary blank line created,Backend
global maintenance mode,Backend
welcome screen should use preference setting for always show,Frontend
enhancement consider automatically adding the protocol for url that donâ€™t have it when importing a csv file,Frontend
issue private journal deleted when accessed from api,Backend
intermittent browser privatebrowsing newtab from popup j test timed out,Security
tab sync between android and windev edition is outright broken,Backend
e html validation popup doesnt close when the form element scroll,Frontend
page not found lost password function,Backend
improve firefox didnt shut down gracefully message,Backend
upgrade the gerrit job for beta branch,Backend
mention notification is not sent mention pattern link re inconsistency,Backend
why the application is freezing and slowly most of time on apple silicon m is there any fix,Frontend
restrict display of the release year in the footer,Security
presentation mac option to switch placement of editor close and file type,Frontend
can not get redmine to store datetimes a utc into database,Backend
possibility to search through issue of all project or a list of selected project,Backend
combine search and filter,Backend
missing space between notification sentence and author name when edit a wiki page,Backend
new toolbar button to open library,Frontend
api creation update wiki page need to specify parent page,Backend
implement back button into about welcome,Backend
glitch on tab loading animation,Frontend
exporting user query doe not use the query name a file name,Backend
make naiveastflattener an api class,Backend
firefox on armvl fails to synchronize password,Backend
database migration from redmine or earlier fails,Backend
hook controller account success authentication after not called with auth source,Backend
defer initial processing by privileged content process at startup,Frontend
frozenerror when new ldap user try to login,Backend
the download warning is sometimes displayed for a split second when the animation is running,Frontend
stop reload button flash extremely rapidly on site with iframes,Frontend
subforestfilter should not throw notestsremainexception in apply method,Backend
field name proposal,Backend
computemodularjreentry return classpath entry when modulepath entry is expected,Backend
redmine apitest userstest fail if config time zone is set,Backend
support active attribute in enumeration rest api,Backend
api post request fail with cant verify csrf token authenticity on , and,Backend
workingsets work set enhancement,Frontend
overly restricted number of rest result,Backend
celleditors colorcelleditor should put the color dialog in a better position,Frontend
java lang illegalargumentexception invalid lambda deserialization,Backend
iae in astconverter on editing sealed class or interface code,Backend
address bar flicker when add on pocket weather suggestion are removed after show le frequently,Frontend
commonnavigator pas the content service into commonwizards,Frontend
optgroup label use the wrong color in the dark theme,Frontend
databinding property should verify the source object is the expected type before constructing observables,Frontend
upgrade from to failed,Backend
setting page broken , after upgrade,Backend
fade in fade out effect of hamburger menu is missing from linux build,Frontend
add more reflow test for some tab case,Frontend
search result shown for commits in project that a user doesnt have access to,Backend
use a lazy pref getter for the contile prefs in topsitesfeed jsm,Frontend
confirm closing tab that is emitting sound when doing close tab to the right,Frontend
thumbnail are no longer fetched for all note of an issue,Frontend
keybindings help key assist ctrl shift l should allow to filter,Frontend
need a causedbyclass field in problem view specially for deprecation,Backend
lost open tab when moving from private browsing to normal browsing mode,Security
search selection checkboxes should reflect enabled module,Backend
save page a should use filename extension html and xhtml , not htm and xht,Backend
export import specific project redmine,Backend
can not paste an image in using the context menu,Frontend
clean up login form with placeholder,Frontend
add an option to invert colour in the pdf viewer,Frontend
perspective set visible view in ifolderlayout,Frontend
add default timezone for new user,Backend
disappearing inline image,Frontend
quickfix surround with try catch is displayed for compile error,Backend
improve performance of principal member of scope,Backend
homepage url is copied into the awesomebar urlbar on startup , interrupting the user typing,Frontend
non nls n support for a wildcard to avoid multiple marker on the same line,Backend
give button placed in title bar look of caption button,Frontend
simple principal join project or principal join membership throw sql error mysql,Backend
title le page a active tab make that window entry in window menu be the application name,Frontend
always open editor in second screen monitor,Frontend
only after log out , redmine should redirect to login page instead of public page,Backend
api get custom field by id,Backend
include document in project api,Backend
rest api need created by field in the api,Backend
keyboard shortcut for synced tab sidebar is missing,Backend
update hover state of list item to match spec,Frontend
my account prevent user from changing their email redmine stable,Backend
autocomplete doe not suggest var type declared variable when applicable,Backend
progress pending treeitem cause unexpected shifting usability,Frontend
improve wording on password change form,Frontend
celleditors table cell editor alignment problem,Frontend
the firefox nightly chiclet shrink , hiding the displayed chiclet text,Frontend
redmine version sometimes doesnt send mail notification,Backend
editormgmt drop down advertise functionality to the user of the drop down list on ctrl e,Frontend
perspective closing and reopening a reset the perspective,Frontend
enable auto locking user after a specified date,Backend
snippet doe not appear on my activity stream even though it turned on in my preference,Frontend
keybindings keybindings dialog copy command should probably be duplicate command,Frontend
azure ad authentication,Backend
rest api add full crud support for news,Backend
better linux distribution to install redmine,Backend
hcm fix unreliable about welcome illustration contrast,Backend
not all about page have the new proton firefox chiclet,Frontend
api get custom field by id,Backend
editormgmt add plugin xml and build xml to file association,Frontend
automatically generate domain affinity list,Frontend
editormgmt restoreselection after elementcontentreplaced,Frontend
cfr for stp should not trigger on moz extension url,Frontend
allow plugins to register a a search provider without a project association,Backend
hyperlink with dash m file,Frontend
editormgmt preference scenario were declaring editor a default isnt honored if another editor already existed for same extension,Frontend
anti spam feature manual new user creation option,Backend
keep issue status when processing commit message,Backend
various issue in the library panel when proton is enabled,Frontend
too big border on the top of the context menu,Frontend
parser during recovery parser doe not understand multiple annotation on array allocation,Backend
add link to the detailed wiki formatting help in quick reference,Documentation
find a more general solution for using custom html element in panelmultiview,Frontend
dialog change signature elementtreeselectiondialog constructor to allow use celllabelprovider a labelprovider,Frontend
the visited highlight card are no longer displayed after a new tab is opened or any action is performed on the page,Frontend
eliminate login concept from sync,Backend
changed behaviour of packagefragmentroot gethandleidentifier resolve classpath now,Backend
allow editing in the refactor preview,Backend
abstraction layer for notification,Backend
find reference on private field method doesnt return any result,Backend
pressing escape in location bar should return focus to main pane,Frontend
add routing to asr debugger,Frontend
new kebab menu icon is visible even if there are no menu option,Frontend
address bar content get shifted leftwards due to shield icon disappearing when you enter edit mode , which make it hard to do precise edits by clicking and deleting editing,Frontend
error in rest api documentation,Documentation
missing translation for email reminder when user set language to auto,Backend
javadoc ignore missing javadoc comment on junit test method,Backend
add appserver to technical information page,Backend
the vpn promo spotlight is not displayed if firefox is opened after the login to the captive portal is performed from another browser,Backend
workbench high tab font not changing the height of the tab,Frontend
mismatch in error reported by ecj and javac with illegal fall through from a pattern,Backend
registered user should have a way to get a new action email,Backend
add ability for each user to control his her visibility for other project in user profile improve privacy and simplicity,Backend
add static constructor for syntheticmethodbinding,Backend
url bar suggestion open menu button activates inconsistently with space,Frontend
handle nil return of redmine theme theme setting ui theme in redmine info environment,Backend
changing subject line in email notification when an issue is created or updated,Backend
keybindings profile based key binding,Frontend
enable adding attachment to wiki entry using the rest api,Backend
some project in test workspace could have better name,Backend
security notification is not sent when an admin change the password of a user,Backend
form history dropdown doe not pop up by double click up arrow key in search field of about home about newtab,Backend
show the total number of open issue in a reminder,Backend
adding the jol library on a java project break the compilation,Backend
download attempt fail an unknown error occurred,Backend
support case insensitive alias in the search service,Backend
ubuntu mate , multiple image in an array dont load correctly when resizing window to half screen,Frontend
rcp barrier to rcp with resource ideworkbenchadvisor,Frontend
wizard new enum wizard on java project,Frontend
command request move to bookmark,Frontend
linux segfaults while using html based image uploaders,Backend
pinned tab with audio muted are hard to select,Frontend
error in content assist for pattern matching in case label,Backend
commonnavigator wizard ordering not controllable in popup,Frontend
visible warning a la mixed content if server redirects user typed http to http,Security
indexed database quota exceeded,Backend
record add acc mandated flag to compiler generated member of a record,Backend
meta make firefox accessible with the keyboard,Frontend
clicking on or near the field label will place the cursor at the beginning of the filled out field,Frontend
expose repository through rest api,Backend
npe in diskindex readstreamint diskindex java,Backend
detail of unresolvedreferencebinding resolving in splitpackagebinding setting,Backend
contribution duplication centralize action contribution with command extension,Frontend
intermittent toolkit component payment test browser browser show dialog j leaked docshell s until shutdown,Frontend
workbench request history panel,Frontend
redmine need to authorize user using client side certificate,Backend
when navigating to some page , the tab title turn to the url of the page and then quickly to the title of the page,Frontend
improve exception handling,Backend
redmine send reminder not work,Backend
broken url when launching from command line and query string includes capital letter s with caron,Frontend
user link syntax user login doesnt work for logins consisting of an email adress,Frontend
error while updating issue with boolean custom field through api,Backend
include updated on and passwd changed on column in user api response,Backend
generate hashcode and equal doe not add generated annotation,Backend
editing issue doe not send notification to previous assignee,Backend
batch compiler option jdt and javac differ re the use of a a default sourcepath,Backend
page info security dialog should show the tl version ciphersuite instead of claiming the website doe not support encryption for certificate error,Security
browser try to load text a url if i drop it to web page , and interferes with tab history,Frontend
add way to see title and alt attribute in the saved screenshot,Frontend
firefox break the function of alt scrollwheel,Frontend
activating address bar when a new typed domain is still loading only selects the trailing slash,Frontend
org eclipse jst jee webapplication internal impl webappimpl can not be cast to org eclipse jst javaee web webapp,Backend
refactor remove restyled search class,Frontend
custom style sheet for email notification,Backend
desktop better handling of max record size,Backend
unstable traversal order because of hashmap use,Backend
auto complete wiki macro,Frontend
no api key on user page,Backend
sidebar open closed per window state is not restored after a restart,Frontend
use session data for sync tab,Backend
proton icon appear blurry,Frontend
optimize the download start finish animation svgs,Frontend
editormgmt persistable editor input should declare whether on not to open the editor on startup,Frontend
compiler change to implicit dependency in module info java are sometimes not picked up by the compiler,Backend
searchbar placed in overflow menu show popup with autocomplete suggestion even when menu is closed,Backend
text and radio button are overlapping on pdf printing from rtl build,Frontend
api dont show value label of a costum field,Backend
tracker configuration page dont show actual project hiearchy,Backend
feature request option to pin container for topsite,Frontend
api to archive unarchive project,Backend
workingsets team sharable working set,Frontend
send fa security notification asynchronously,Backend
the border for show your bookmark dropdown is only visible on the corner on macos,Frontend
