bug_id,bug_severity,description,priority
214078,normal,"Eclipse Build ID: M20071023-1652
Bpel plugin version: 0.3.0

Steps To Reproduce:
1.Create a new bpel file and open it with bpel designer
2.Add a ""if"" activity
3.Add an empty activity to the ""then"" part of the ""if""
4.Add a condition to the ""if"" activity
5.Save the file

More information:
The condition and the ""then"" activity are switched (in bpel spec the condition is before the activity).

The generated bpel is :
<bpws:if name=""If"">
  <bpws:empty name=""Empty""/>
  <bpws:condition><![CDATA[true()]]></bpws:condition>
</bpws:if>

it should be :
<bpws:if name=""If"">
  <bpws:condition><![CDATA[true()]]></bpws:condition>
  <bpws:empty name=""Empty""/>
</bpws:if>",P3
214073,major,"Created attachment 85970
report design

Description:
Out of memory when preview the attached report with crosstab in Web Viewer.

Build number: 
2.3.0.v20080102-1021

Steps to reproduce:
1. Preview the attached report in Web Viewer.

Expected result:
Preview correctly.

Actual result:
Out of memory and it works fine in build (2.3.0.v20071221-1008).

Error log:
java.lang.ClassCastException:java.lang.OutOfMemoryError",P3
214080,normal,"Description:
  Page break does not work correctly in PDF. In the report attached, ""pagebreak:before-always"" and ""pagebreak:after-always"" should be in one page.

Test Date:
20080102

Test Build:
BIRT2.3.0 Daily Build: v20080102-1021

Step to reproduce:

1. Use the report attached.
2. Preview it in PDF format

Expect result:
There are four pages when previewing this report.

Actual result:
There are five pages.",P3
214074,major,"Description:
  EngineException is thrown out when previewing report in web viewer.

Test Date:
20080102

Test Build:
BIRT2.3.0 Daily Build: v20080102-1021

Step to reproduce:

1. Use the report attached.
2. Preview it in web viewer.

Error log:
null ( 1 time(s) )
detail : org.eclipse.birt.report.engine.api.EngineException
 at org.eclipse.birt.report.engine.internal.document.v4.ExtendedItemExecutor.execute(ExtendedItemExecutor.java:187)
 at org.eclipse.birt.report.engine.internal.document.v4.ExtendedItemExecutor.prepareChildExecutor(ExtendedItemExecutor.java:117)
 at org.eclipse.birt.report.engine.internal.document.v4.ContainerExecutor.hasNextChild(ContainerExecutor.java:110)
 at org.eclipse.birt.report.engine.internal.executor.wrap.WrappedReportItemExecutor.hasNextChild(WrappedReportItemExecutor.java:85)
 at org.eclipse.birt.report.engine.internal.executor.wrap.WrappedReportItemExecutor.hasNextChild(WrappedReportItemExecutor.java:85)
 at org.eclipse.birt.report.engine.layout.html.HTMLBlockStackingLM.layoutNodes(HTMLBlockStackingLM.java:60)
 at org.eclipse.birt.report.engine.layout.html.HTMLStackingLM.layoutChildren(HTMLStackingLM.java:27)
 at org.eclipse.birt.report.engine.layout.html.HTMLTableLM.layoutChildren(HTMLTableLM.java:76)
 at org.eclipse.birt.report.engine.layout.html.HTMLAbstractLM.layout(HTMLAbstractLM.java:133)
 at org.eclipse.birt.report.engine.layout.html.HTMLBlockStackingLM.layoutNodes(HTMLBlockStackingLM.java:68)
 at org.eclipse.birt.report.engine.layout.html.HTMLPageLM.layout(HTMLPageLM.java:85)
 at org.eclipse.birt.report.engine.layout.html.HTMLReportLayoutEngine.layout(HTMLReportLayoutEngine.java:106)
 at org.eclipse.birt.report.engine.api.impl.RenderTask$PageRangeRender.render(RenderTask.java:509)
 at org.eclipse.birt.report.engine.api.impl.RenderTask.render(RenderTask.java:167)
 at org.eclipse.birt.report.service.ReportEngineService.renderReport(Unknown Source)
 at org.eclipse.birt.report.service.ReportEngineService.renderReport(Unknown Source)
 at org.eclipse.birt.report.service.BirtViewerReportService.getPage(Unknown Source)
 at org.eclipse.birt.report.service.actionhandler.AbstractGetPageActionHandler.doExecution(Unknown Source)
 at org.eclipse.birt.report.service.actionhandler.AbstractGetPageActionHandler.__execute(Unknown Source)
 at 
Caused by: java.lang.NullPointerException
 at org.eclipse.birt.data.engine.olap.cursor.RowDataAccessor.edge_setPostion(RowDataAccessor.java:601)
 at org.eclipse.birt.data.engine.olap.cursor.EdgeNavigator.setPosition(EdgeNavigator.java:178)
 at org.eclipse.birt.data.engine.olap.cursor.AbstractCursorSupport.setPosition(AbstractCursorSupport.java:725)
 at org.eclipse.birt.report.engine.adapter.CubeUtil.positionCursor(CubeUtil.java:92)
 at org.eclipse.birt.report.engine.data.dte.CubeResultSet.skipTo(CubeResultSet.java:213)
 at org.eclipse.birt.report.engine.internal.document.v4.ReportItemExecutor.restoreParentResultSet(ReportItemExecutor.java:477)
 at org.eclipse.birt.report.engine.internal.document.v4.ExtendedItemExecutor.doExecute(ExtendedItemExecutor.java:202)
 at org.eclipse.birt.report.engine.internal.document.v4.ExtendedItemExecutor.execute(ExtendedItemExecutor.java:180)
 ... 63 more",P3
214079,trivial,"In the Import wizard dialog, the description for the Team Project Set wizard is ""A wizard that imports a Team Project Set"".  Not to be flippant, but that doesn't tell the user anything useful.",P3
214077,normal,"Description:
  Chart Y-axis step size is changed to 1 when set the chart step size as default.

Test Date:
20080102

Test Build:
BIRT2.3.0 Daily Build: v20080102-1021

Step to reproduce:

1. Use the report attached
2. Preview it.

Expect result:
The step size should be 1000.

Actual result:
The step size is 1.",P3
214081,normal,"S-3.0M4-20071229165007

If I try to open a catalog file (should there be naming constraints?) created by exporting my user catalog entries into the workspace, the Text Editor complains that it's out of sync with the filesystem.",P3
214083,major,"wtp-sdk-S-3.0M4-20071229165007

1. Start XML wizard.
2. Create XML file from XML schema.
3. Select schema from catalog (I tried this with
http://java.sun.com/xml/ns/javaee)

The next page will indicate that ""No root element exists since the schema provided has no global elements"" and will not allow me to click the Finish button.  This occurs on both OSX and Windows.",P3
214082,normal,"Created attachment 85975
report design

Description:
Exception is thrown out when preview the attached report design in Web Viewer.

Build number: 
2.2.2.v20080102-0630

Steps to reproduce:
1. Preview the attached report design in Web Viewer.

Expected result:
No exception.

Actual result:
Exception is thrown out.

Error log:
ReportDesign (id = 1): 
- cant re-generate content for design 350 
can't re-generate content for design 350 ( 10 time(s) )
detail : org.eclipse.birt.report.engine.api.EngineException: cant re-generate content for design 350 at org.eclipse.birt.report.engine.internal.document.v4.ReportItemExecutor.execute(ReportItemExecutor.java:299) at org.eclipse.birt.report.engine.internal.document.v4.ContainerExecutor.prepareChildExecutor(ContainerExecutor.java:223) at org.eclipse.birt.report.engine.internal.document.v4.ContainerExecutor.hasNextChild(ContainerExecutor.java:107) at org.eclipse.birt.report.engine.internal.executor.wrap.WrappedReportItemExecutor.hasNextChild(WrappedReportItemExecutor.java:85) at org.eclipse.birt.report.engine.internal.executor.wrap.WrappedReportItemExecutor.hasNextChild(WrappedReportItemExecutor.java:85) at org.eclipse.birt.report.engine.layout.html.HTMLBlockStackingLM.layoutNodes(HTMLBlockStackingLM.java:60) at org.eclipse.birt.report.engine.layout.html.HTMLStackingLM.layoutChildren(HTMLStackingLM.java:24) at org.eclipse.birt.report.engine.layout.html.HTMLGroupLM.layoutChildren(HTMLGroupLM.java:67) at org.eclipse.birt.report.engine.layout.html.HTMLAbstractLM.layout(HTMLAbstractLM.java:138) at org.eclipse.birt.report.engine.layout.html.HTMLBlockStackingLM.layoutNodes(HTMLBlockStackingLM.java:68) at org.eclipse.birt.report.engine.layout.html.HTMLStackingLM.layoutChildren(HTMLStackingLM.java:24) at org.eclipse.birt.report.engine.layout.html.HTMLListLM.layoutChildren(HTMLListLM.java:70) at org.eclipse.birt.report.engine.layout.html.HTMLAbstractLM.layout(HTMLAbstractLM.java:138) at org.eclipse.birt.report.engine.layout.html.HTMLBlockStackingLM.layoutNodes(HTMLBlockStackingLM.java:68) at org.eclipse.birt.report.engine.layout.html.HTMLPageLM.layout(HTMLPageLM.java:85) at org.eclipse.birt.report.engine.layout.html.HTMLReportLayoutEngine.layout(HTMLReportLayoutEngine.java:106) at org.eclipse.birt.report.engine.api.impl.RenderTask$PageRangeRender.render(RenderTask.java:513) at org.eclipse.birt.report.engine.api.impl.RenderTask.render(RenderTask.java:167) at org.eclipse.birt.report.service.ReportEngineService.renderReport(Unknown Source) at org.eclipse.birt.report.service.ReportEngineService.renderReport(Unknown Source) at org.eclipse.birt.report.service.BirtViewerReportService.getPage(Unknown Source) at org.eclipse.birt.report.service.actionhandler.AbstractGetPageActionHandler.doExecution(Unknown Source) at org.eclipse.birt.report.service.actionhandler.AbstractGetPageActionHandler.__execute(Unknown Source) at org.eclipse.birt.report.service.actionhandler.AbstractBaseActionHandler.execute(Unknown Source) at org.eclipse.birt.report.soapengine.processor.AbstractBaseDocumentProcessor.__executeAction(Unknown Source) at org.eclipse.birt.report.soapengine.processor.AbstractBaseComponentProcessor.executeAction(Unknown Source) at org.eclipse.birt.report.soapengine.processor.BirtDocumentProcessor.handleGetPage(Unknown Source) at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method) at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:39) at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:25) at java.lang.reflect.Method.invoke(Method.java:585) at org.eclipse.birt.report.soapengine.processor.AbstractBaseComponentProcessor.process(Unknown Source) at org.eclipse.birt.report.soapengine.endpoint.BirtSoapBindingImpl.getUpdatedObjects(Unknown Source) at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method) at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:39) at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:25) at java.lang.reflect.Method.invoke(Method.java:585) at org.apache.axis.providers.java.RPCProvider.invokeMethod(RPCProvider.java:397) at org.apache.axis.providers.java.RPCProvider.processMessage(RPCProvider.java:186) at org.apache.axis.providers.java.JavaProvider.invoke(JavaProvider.java:323) at org.apache.axis.strategies.InvocationStrategy.visit(InvocationStrategy.java:32) at org.apache.axis.SimpleChain.doVisiting(SimpleChain.java:118) at org.apache.axis.SimpleChain.invoke(SimpleChain.java:83) at org.apache.axis.handlers.soap.SOAPService.invoke(SOAPService.java:453) at org.apache.axis.server.AxisServer.invoke(AxisServer.java:281) at org.apache.axis.transport.http.AxisServlet.doPost(AxisServlet.java:699) at org.eclipse.birt.report.servlet.BirtSoapMessageDispatcherServlet.doPost(Unknown Source) at javax.servlet.http.HttpServlet.service(HttpServlet.java:760) at org.apache.axis.transport.http.AxisServletBase.service(AxisServletBase.java:327) at javax.servlet.http.HttpServlet.service(HttpServlet.java:853) at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:247) at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:193) at org.eclipse.birt.report.filter.ViewerFilter.doFilter(Unknown Source) at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:213) at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:193) at org.apache.catalina.core.StandardWrapperValve.invoke(StandardWrapperValve.java:256) at org.apache.catalina.core.StandardPipeline$StandardPipelineValveContext.invokeNext(StandardPipeline.java:643) at org.apache.catalina.core.StandardPipeline.invoke(StandardPipeline.java:480) at org.apache.catalina.core.ContainerBase.invoke(ContainerBase.java:995) at org.apache.catalina.core.StandardContextValve.invoke(StandardContextValve.java:191) at org.apache.catalina.core.StandardPipeline$StandardPipelineValveContext.invokeNext(StandardPipeline.java:643) at org.apache.catalina.valves.CertificatesValve.invoke(CertificatesValve.java:246) at org.apache.catalina.core.StandardPipeline$StandardPipelineValveContext.invokeNext(StandardPipeline.java:641) at org.apache.catalina.core.StandardPipeline.invoke(StandardPipeline.java:480) at org.apache.catalina.core.ContainerBase.invoke(ContainerBase.java:995) at org.apache.catalina.core.StandardContext.invoke(StandardContext.java:2422) at org.apache.catalina.core.StandardHostValve.invoke(StandardHostValve.java:180) at org.apache.catalina.core.StandardPipeline$StandardPipelineValveContext.invokeNext(StandardPipeline.java:643) at org.apache.catalina.valves.ErrorDispatcherValve.invoke(ErrorDispatcherValve.java:171) at org.apache.catalina.core.StandardPipeline$StandardPipelineValveContext.invokeNext(StandardPipeline.java:641) at org.eclipse.tomcat.internal.EclipseErrorReportValve.invoke(EclipseErrorReportValve.java:153) at org.apache.catalina.core.StandardPipeline$StandardPipelineValveContext.invokeNext(StandardPipeline.java:641) at org.apache.catalina.core.StandardPipeline.invoke(StandardPipeline.java:480) at org.apache.catalina.core.ContainerBase.invoke(ContainerBase.java:995) at org.apache.catalina.core.StandardEngineValve.invoke(StandardEngineValve.java:174) at org.apache.catalina.core.StandardPipeline$StandardPipelineValveContext.invokeNext(StandardPipeline.java:643) at org.apache.catalina.core.StandardPipeline.invoke(StandardPipeline.java:480) at org.apache.catalina.core.ContainerBase.invoke(ContainerBase.java:995) at org.apache.coyote.tomcat4.CoyoteAdapter.service(CoyoteAdapter.java:199) at org.apache.coyote.http11.Http11Processor.process(Http11Processor.java:828) at org.apache.coyote.http11.Http11Protocol$Http11ConnectionHandler.processConnection(Http11Protocol.java:700) at org.apache.tomcat.util.net.TcpWorkerThread.runIt(PoolTcpEndpoint.java:584) at org.apache.tomcat.util.threads.ThreadPool$ControlRunnable.run(ThreadPool.java:683) at java.lang.Thread.run(Thread.java:595)",P3
214084,major,"Description:
Fail to preview data from xml data source when deploy BIRT
Build number:2.3.0.v200801021051

Steps to reproduce:
1. I create a report using xml data source and the path for xml file uses absolute path.
2. In the same machine, I deploy BIRT and preview the table with data from xml data source.

Expected result:
Display data.

Actual result:
Display Exception instead of data.

Error log:see attached.",P3
214086,normal,"Description:
  Legend title is sorted by letters, but in latest BIRT2.3.0 Build, legend title is sorted by ASCII.

Test Date:
20080102

Test Build:
BIRT2.3.0 Daily Build: v20080102-1021

Step to reproduce:

1. Use the report attached
2. Preview it

Expect result:
Legend title is sorted by letters.

Actual result:
Legend title is sorted by ASCII.",P3
214087,normal,"Description:
  Exception is thrown out when previewing report.

Test Date:
20080102

Test Build:
BIRT2.3.0 Daily Build: v20080102-1021

Step to reproduce:

1. Use the report attached
2. Preview it

Error log:
- An exception occurred during processing. Please see the following message for details:
Setting a date interval on a column with type String is not supported.

An exception occurred during processing. Please see the following message for details:
Setting a date interval on a column with type String is not supported. ( 1 time(s) )
detail : org.eclipse.birt.report.engine.api.EngineException: An exception occurred during processing. Please see the following message for details:
Setting a date interval on a column with type String is not supported.
 at org.eclipse.birt.report.engine.executor.ExtendedGenerateExecutor.execute(ExtendedGenerateExecutor.java:71)
 at org.eclipse.birt.report.engine.executor.ExtendedItemExecutor.execute(ExtendedItemExecutor.java:60)
 at org.eclipse.birt.report.engine.internal.executor.dup.SuppressDuplicateItemExecutor.execute(SuppressDuplicateItemExecutor.java:42)
 at org.eclipse.birt.report.engine.internal.executor.wrap.WrappedReportItemExecutor.execute(WrappedReportItemExecutor.java:45)
 at org.eclipse.birt.report.engine.internal.executor.l18n.LocalizedReportItemExecutor.execute(LocalizedReportItemExecutor.java:33)
 at org.eclipse.birt.report.engine.layout.html.HTMLBlockStackingLM.layoutNodes(HTMLBlockStackingLM.java:63)",P3
214089,normal,"Description:
  Page Break within nested table or list works in web viewer, not in PDF.

Test Date:
20080102

Test Build:
BIRT2.3.0 Daily Build: v20080102-1021

Step to reproduce:

1. Use the report attached.
2. Preview it in PDF

Expect result:
Page break should take effect after data item of nested list.

Actual result:
Page break takes effect after every row.",P3
214090,normal,"When dropping an object having relations from the ones already in the diagram, connections are not restored.",P3
214088,enhancement,"Problem of absence of default configuration file are often met by newbies who start working with TPTP. 

Providing of configuration file for AC required in TPTP's and AC's distributions. It only should be applicable for general cases. 
If all required information (e.g. JVM path) can't be taken from environment variables or by default and its mandatory required for successful AC execution then ask user to provide its through SetConfig.bat.",P1
